"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"JA000047649","34.767","136.15","161.0","1990-08-09","76","82",
"JA000047649","34.767","136.15","161.0","1990-08-10","85","93","74"
"JA000047649","34.767","136.15","161.0","1990-09-19","73","82",
"JA000047649","34.767","136.15","161.0","1990-09-30","69","72","66"
"JA000047649","34.767","136.15","161.0","1990-10-08","67","69","64"
"JA000047649","34.767","136.15","161.0","1990-11-30","58","61","56"
"JA000047649","34.767","136.15","161.0","1991-03-26","56","65","42"
"JA000047649","34.767","136.15","161.0","1991-03-27","57","64","48"
"JA000047649","34.767","136.15","161.0","1991-03-28","47","55",
"JA000047649","34.767","136.15","161.0","1991-03-29","54",,"43"
"JA000047649","34.767","136.15","161.0","1991-03-30","50","58",
"JA000047649","34.767","136.15","161.0","1991-04-01","38","47",
"JA000047649","34.767","136.15","161.0","1991-04-02","40","55","28"
"JA000047649","34.767","136.15","161.0","1991-04-03","44","60","29"
"JA000047649","34.767","136.15","161.0","1991-04-04","49","66","31"
"JA000047649","34.767","136.15","161.0","1991-04-05","58","70","40"
"JA000047649","34.767","136.15","161.0","1991-04-06","56","62","51"
"JA000047649","34.767","136.15","161.0","1991-04-08","58","69",
"JA000047649","34.767","136.15","161.0","1991-04-09","61",,"52"
"JA000047649","34.767","136.15","161.0","1991-04-10","59",,
"JA000047649","34.767","136.15","161.0","1991-04-11","59","64",
"JA000047649","34.767","136.15","161.0","1991-04-12","66","76","52"
"JA000047649","34.767","136.15","161.0","1991-04-13","60","66",
"JA000047649","34.767","136.15","161.0","1991-04-14","49","61",
"JA000047649","34.767","136.15","161.0","1991-04-15","59","73","39"
"JA000047649","34.767","136.15","161.0","1991-04-16","56","76",
"JA000047649","34.767","136.15","161.0","1991-04-17","66","76","40"
"JA000047649","34.767","136.15","161.0","1991-04-18","48","74",
"JA000047649","34.767","136.15","161.0","1991-04-19","54","67",
"JA000047649","34.767","136.15","161.0","1991-04-20","48","62",
"JA000047649","34.767","136.15","161.0","1991-04-21","54","69","34"
"JA000047649","34.767","136.15","161.0","1991-04-22","58","73","39"
"JA000047649","34.767","136.15","161.0","1991-04-23","56","64","45"
"JA000047649","34.767","136.15","161.0","1991-04-24","56","59","51"
"JA000047649","34.767","136.15","161.0","1991-04-25","58","68",
"JA000047649","34.767","136.15","161.0","1991-04-26","59","73","49"
"JA000047649","34.767","136.15","161.0","1991-04-27","60","67","50"
"JA000047649","34.767","136.15","161.0","1991-04-28","64","72","52"
"JA000047649","34.767","136.15","161.0","1991-04-29","59","74",
"JA000047649","34.767","136.15","161.0","1991-04-30","54","66",
"JA000047649","34.767","136.15","161.0","1991-05-01","57","67","43"
"JA000047649","34.767","136.15","161.0","1991-05-02","50","62",
"JA000047649","34.767","136.15","161.0","1991-05-03","47","56",
"JA000047649","34.767","136.15","161.0","1991-05-04","47","59",
"JA000047649","34.767","136.15","161.0","1991-05-05","51","67","35"
"JA000047649","34.767","136.15","161.0","1991-05-06","59","67","40"
"JA000047649","34.767","136.15","161.0","1991-05-07","63","70","54"
"JA000047649","34.767","136.15","161.0","1991-05-08","64","67",
"JA000047649","34.767","136.15","161.0","1991-05-09","58","63",
"JA000047649","34.767","136.15","161.0","1991-05-10","61","75",
"JA000047649","34.767","136.15","161.0","1991-05-11","67","80","47"
"JA000047649","34.767","136.15","161.0","1991-05-12","56",,
"JA000047649","34.767","136.15","161.0","1991-05-13","60","74",
"JA000047649","34.767","136.15","161.0","1991-05-14","65","80","49"
"JA000047649","34.767","136.15","161.0","1991-05-15","61",,"53"
"JA000047649","34.767","136.15","161.0","1991-05-16","62","71",
"JA000047649","34.767","136.15","161.0","1991-05-17","60","72",
"JA000047649","34.767","136.15","161.0","1991-05-18","62","77","51"
"JA000047649","34.767","136.15","161.0","1991-05-19","68","78","50"
"JA000047649","34.767","136.15","161.0","1991-05-20","69","80","57"
"JA000047649","34.767","136.15","161.0","1991-05-21","65",,"62"
"JA000047649","34.767","136.15","161.0","1991-05-22","69","78",
"JA000047649","34.767","136.15","161.0","1991-05-23","75","85","61"
"JA000047649","34.767","136.15","161.0","1991-05-24","71","80","65"
"JA000047649","34.767","136.15","161.0","1991-05-25","75","85","65"
"JA000047649","34.767","136.15","161.0","1991-05-26","77","89",
"JA000047649","34.767","136.15","161.0","1991-05-27","61","75",
"JA000047649","34.767","136.15","161.0","1991-05-28","61","69",
"JA000047649","34.767","136.15","161.0","1991-05-29","65","71","53"
"JA000047649","34.767","136.15","161.0","1991-05-30","66","76",
"JA000047649","34.767","136.15","161.0","1991-05-31","63",,"60"
"JA000047649","34.767","136.15","161.0","1991-06-01","74","77","62"
"JA000047649","34.767","136.15","161.0","1991-06-03","65","66",
"JA000047649","34.767","136.15","161.0","1991-06-04","61","73",
"JA000047649","34.767","136.15","161.0","1991-06-05","69","81","52"
"JA000047649","34.767","136.15","161.0","1991-06-06","69","80","60"
"JA000047649","34.767","136.15","161.0","1991-06-07","71","83","61"
"JA000047649","34.767","136.15","161.0","1991-06-08","73","81","62"
"JA000047649","34.767","136.15","161.0","1991-06-09","72","80","66"
"JA000047649","34.767","136.15","161.0","1991-06-10","75","82","68"
"JA000047649","34.767","136.15","161.0","1991-06-11","79","87","70"
"JA000047649","34.767","136.15","161.0","1991-06-12","80","93","71"
"JA000047649","34.767","136.15","161.0","1991-06-13","71","87",
"JA000047649","34.767","136.15","161.0","1991-06-14","71","82",
"JA000047649","34.767","136.15","161.0","1991-06-16","65","79",
"JA000047649","34.767","136.15","161.0","1991-06-17","67","72",
"JA000047649","34.767","136.15","161.0","1991-06-18","76","86","60"
"JA000047649","34.767","136.15","161.0","1991-06-19","72","82",
"JA000047649","34.767","136.15","161.0","1991-06-20","69","74","65"
"JA000047649","34.767","136.15","161.0","1991-06-21","75","79","66"
"JA000047649","34.767","136.15","161.0","1991-06-22","70","74",
"JA000047649","34.767","136.15","161.0","1991-06-23","71","74","68"
"JA000047649","34.767","136.15","161.0","1991-06-24","76","83","70"
"JA000047649","34.767","136.15","161.0","1991-06-25","81","89","73"
"JA000047649","34.767","136.15","161.0","1991-06-26","83","94","74"
"JA000047649","34.767","136.15","161.0","1991-06-27","80","92",
"JA000047649","34.767","136.15","161.0","1991-06-28","78","85",
"JA000047649","34.767","136.15","161.0","1991-06-29","78","89","71"
"JA000047649","34.767","136.15","161.0","1991-06-30","77","83","72"
"JA000047649","34.767","136.15","161.0","1991-07-01","76","81",
"JA000047649","34.767","136.15","161.0","1991-07-02","74","81",
"JA000047649","34.767","136.15","161.0","1991-07-03","72","81",
"JA000047649","34.767","136.15","161.0","1991-07-04","73","81","65"
"JA000047649","34.767","136.15","161.0","1991-07-05","74","82",
"JA000047649","34.767","136.15","161.0","1991-07-06","74","85",
"JA000047649","34.767","136.15","161.0","1991-07-07","78","85","67"
"JA000047649","34.767","136.15","161.0","1991-07-08","74","87",
"JA000047649","34.767","136.15","161.0","1991-07-09","78","90","65"
"JA000047649","34.767","136.15","161.0","1991-07-10","80","93","70"
"JA000047649","34.767","136.15","161.0","1991-07-11","80","92","70"
"JA000047649","34.767","136.15","161.0","1991-07-12","79","89","71"
"JA000047649","34.767","136.15","161.0","1991-07-13","75","82",
"JA000047649","34.767","136.15","161.0","1991-07-14","77","88",
"JA000047649","34.767","136.15","161.0","1991-07-15","76","82","69"
"JA000047649","34.767","136.15","161.0","1991-07-16","76","82","72"
"JA000047649","34.767","136.15","161.0","1991-07-17","80","87","72"
"JA000047649","34.767","136.15","161.0","1991-07-18","71","79",
"JA000047649","34.767","136.15","161.0","1991-07-19","78","87","69"
"JA000047649","34.767","136.15","161.0","1991-07-20","79","92","72"
"JA000047649","34.767","136.15","161.0","1991-07-21","81","91","72"
"JA000047649","34.767","136.15","161.0","1991-07-22","82","94",
"JA000047649","34.767","136.15","161.0","1991-07-23","90","96","73"
"JA000047649","34.767","136.15","161.0","1991-07-25","80","95",
"JA000047649","34.767","136.15","161.0","1991-07-26","87","95","73"
