"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-01",,"34","26"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-02",,"35","25"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-03",,"33","24"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-04",,"36","26"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-05",,"37","26"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-06",,"38","35"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-07",,"41","31"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-08",,"38","30"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-09",,"36","28"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-10",,"33","24"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-11",,"33","21"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-12",,"35","23"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-13",,"37","25"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-14",,"34","24"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-15",,"45","28"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-16",,"49","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-17",,"51","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-18",,"44","30"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-19",,"36","28"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-20",,"41","28"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-21",,"47","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-22",,"44","31"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-23",,"42","30"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-24",,"53","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-25",,"58","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-26",,"49","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-27",,"54","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-28",,"47","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-29",,"44","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-30",,"51","33"
"SZ000001940","BASEL BINNINGEN, SZ","1990-01-31",,"50","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-01",,"51","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-02",,"49","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-03",,"60","35"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-04",,"53","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-05",,"55","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-06",,"54","29"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-07",,"57","35"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-08",,"63","43"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-09",,"49","32"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-10",,"49","32"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-11",,"51","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-12",,"44","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-13",,"53","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-14",,"54","47"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-15",,"56","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-16",,"40","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-17",,"51","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-18",,"61","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-19",,"61","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-20",,"65","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-21",,"63","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-22",,"59","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-23",,"65","40"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-24",,"68","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-25",,"71","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-26",,"56","46"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-27",,"57","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-02-28",,"52","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-01",,"53","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-02",,"41","31"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-03",,"45","29"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-04",,"48","27"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-05",,"54","29"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-06",,"58","30"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-07",,"57","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-08",,"65","35"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-09",,"57","47"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-10",,"55","43"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-11",,"69","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-12",,"63","44"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-13",,"62","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-14",,"53","48"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-15",,"55","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-16",,"66","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-17",,"65","40"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-18",,"65","40"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-19",,"65","40"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-20",,"53","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-21",,"74","46"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-22",,"77","48"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-23",,"58","40"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-24",,"61","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-25",,"50","38"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-26",,"47","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-27",,"46","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-28",,"39","34"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-29",,"45","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-30",,"57","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-03-31",,"63","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-01",,"68","41"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-02",,"67","42"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-03",,"56","41"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-04",,"51","36"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-05",,"51","37"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-06",,"47","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-07",,"47","40"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-08",,"44","39"
"SZ000001940","BASEL BINNINGEN, SZ","1990-04-09",,"40","36"
