"STATION","NAME","DATE","TMAX","TMIN"
"USC00450729","BLAINE, WA US","1990-01-01","46","38"
"USC00450729","BLAINE, WA US","1990-01-02","41","26"
"USC00450729","BLAINE, WA US","1990-01-03","43","36"
"USC00450729","BLAINE, WA US","1990-01-04","49","37"
"USC00450729","BLAINE, WA US","1990-01-05","51","40"
"USC00450729","BLAINE, WA US","1990-01-06","50","42"
"USC00450729","BLAINE, WA US","1990-01-07","51","46"
"USC00450729","BLAINE, WA US","1990-01-08","49","41"
"USC00450729","BLAINE, WA US","1990-01-09","46","41"
"USC00450729","BLAINE, WA US","1990-01-10","43","31"
"USC00450729","BLAINE, WA US","1990-01-11","43","26"
"USC00450729","BLAINE, WA US","1990-01-12","47","36"
"USC00450729","BLAINE, WA US","1990-01-13","45","36"
"USC00450729","BLAINE, WA US","1990-01-14","47","42"
"USC00450729","BLAINE, WA US","1990-01-15","45","38"
"USC00450729","BLAINE, WA US","1990-01-16","46","31"
"USC00450729","BLAINE, WA US","1990-01-17","44","28"
"USC00450729","BLAINE, WA US","1990-01-18","40","24"
"USC00450729","BLAINE, WA US","1990-01-19","43","24"
"USC00450729","BLAINE, WA US","1990-01-20","40","27"
"USC00450729","BLAINE, WA US","1990-01-21","41","38"
"USC00450729","BLAINE, WA US","1990-01-22","46","39"
"USC00450729","BLAINE, WA US","1990-01-23","44","40"
"USC00450729","BLAINE, WA US","1990-01-24","43","37"
"USC00450729","BLAINE, WA US","1990-01-25","45","40"
"USC00450729","BLAINE, WA US","1990-01-26","43","32"
"USC00450729","BLAINE, WA US","1990-01-27","46","35"
"USC00450729","BLAINE, WA US","1990-01-28","44","33"
"USC00450729","BLAINE, WA US","1990-01-29","43","38"
"USC00450729","BLAINE, WA US","1990-01-30","41","31"
"USC00450729","BLAINE, WA US","1990-01-31","39","24"
"USC00450729","BLAINE, WA US","1990-02-01","43","24"
"USC00450729","BLAINE, WA US","1990-02-02","45","38"
"USC00450729","BLAINE, WA US","1990-02-03","48","39"
"USC00450729","BLAINE, WA US","1990-02-04","43","30"
"USC00450729","BLAINE, WA US","1990-02-05","42","37"
"USC00450729","BLAINE, WA US","1990-02-06","39","32"
"USC00450729","BLAINE, WA US","1990-02-07","41","32"
"USC00450729","BLAINE, WA US","1990-02-08","38","29"
"USC00450729","BLAINE, WA US","1990-02-09","45","34"
"USC00450729","BLAINE, WA US","1990-02-10","49","44"
"USC00450729","BLAINE, WA US","1990-02-11","49","38"
"USC00450729","BLAINE, WA US","1990-02-12","38","31"
"USC00450729","BLAINE, WA US","1990-02-13","34","22"
"USC00450729","BLAINE, WA US","1990-02-14","28","19"
"USC00450729","BLAINE, WA US","1990-02-15","33","25"
"USC00450729","BLAINE, WA US","1990-02-16","32","27"
"USC00450729","BLAINE, WA US","1990-02-17","29","16"
"USC00450729","BLAINE, WA US","1990-02-18","36","9"
"USC00450729","BLAINE, WA US","1990-02-19","40","14"
"USC00450729","BLAINE, WA US","1990-02-20","43","32"
"USC00450729","BLAINE, WA US","1990-02-21","47","36"
"USC00450729","BLAINE, WA US","1990-02-22","46","38"
"USC00450729","BLAINE, WA US","1990-02-23","44","27"
"USC00450729","BLAINE, WA US","1990-02-24","47","41"
"USC00450729","BLAINE, WA US","1990-02-25","47","40"
"USC00450729","BLAINE, WA US","1990-02-26","51","27"
"USC00450729","BLAINE, WA US","1990-02-27","56","25"
"USC00450729","BLAINE, WA US","1990-02-28","52","27"
"USC00450729","BLAINE, WA US","1990-03-01","51","25"
"USC00450729","BLAINE, WA US","1990-03-02","56","27"
"USC00450729","BLAINE, WA US","1990-03-03","57","29"
"USC00450729","BLAINE, WA US","1990-03-04","56","43"
"USC00450729","BLAINE, WA US","1990-03-05","51","42"
"USC00450729","BLAINE, WA US","1990-03-06","50","43"
"USC00450729","BLAINE, WA US","1990-03-07","44","38"
"USC00450729","BLAINE, WA US","1990-03-08","43","33"
"USC00450729","BLAINE, WA US","1990-03-09","45","34"
"USC00450729","BLAINE, WA US","1990-03-10","49","40"
"USC00450729","BLAINE, WA US","1990-03-11","45","31"
"USC00450729","BLAINE, WA US","1990-03-12","46","26"
